Name,RA_deg,Dec_deg,logMbh,source,theta_dpole,theta_apole
NGC1398,54.71721,-26.33784,8.03,Thomas2016,105.91174268812902,74.08825731187098
NGC1399,54.62118,-35.45074,8.94,Thomas2016,98.13391040618525,81.86608959381475
NGC1407,55.0496,-18.58038,9.65,Thomas2016,112.30755987172986,67.69244012827014
NGC1428,55.59542,-35.15333,0.0,Thomas2016,97.982872008122,82.017127991878
NGC1493,59.36409,-46.21074,5.4,Thomas2016,87.10504229041483,92.89495770958517
NGC1497,60.52835,23.13291,8.63,Thomas2016,138.7536763998758,41.246323600124214
NGC1550,64.908,2.40988,9.57,Thomas2016,122.44101246480949,57.55898753519051
NGC1600,67.91607,-5.0861,10.23,Thomas2016,114.99429713592293,65.00570286407707
NGC1667,72.15502,-6.31985,8.2,Thomas2016,111.15630601282115,68.84369398717885
NGC1961,85.5199,69.37838,8.29,Thomas2016,131.90478901031096,48.095210989689036
NGC2110,88.04752,-7.45617,8.12,Thomas2016,98.73042904432785,81.26957095567215
NGC2179,92.00919,-21.74667,8.31,Thomas2016,86.59194761511567,93.40805238488433
NGC2273,102.5361,60.84569,6.93,Thomas2016,123.62565398773663,56.37434601226337
NGC2329,107.28321,48.6156,8.18,Thomas2016,116.20113819238986,63.79886180761014
NGC2549,124.74311,57.80311,7.16,Thomas2016,112.24080362409029,67.75919637590971
NGC2685,133.89479,58.73441,6.59,Thomas2016,109.12806372151204,70.87193627848796
NGC2748,138.42932,76.47534,7.65,Thomas2016,119.68505797509528,60.314942024904724
NGC2778,138.10164,35.02742,7.16,Thomas2016,90.06036572617758,89.93963427382242
NGC2787,139.82724,69.2034,7.61,Thomas2016,114.46862842390956,65.53137157609044
NGC2892,143.22041,67.6174,8.43,Thomas2016,112.46088132773892,67.53911867226108
NGC2903,143.04213,21.50083,7.06,Thomas2016,76.9575870415105,103.0424129584895
NGC2960,145.15157,3.57693,7.03,Thomas2016,62.12404952978172,117.87595047021827
NGC2964,145.72605,31.84721,6.73,Thomas2016,83.56902276463627,96.43097723536373
NGC2974,145.63861,-3.69912,8.23,Thomas2016,56.60209096113793,123.39790903886207
NGC3021,147.73797,33.55347,7.26,Thomas2016,83.9328343234847,96.0671656765153
NGC3031,148.88822,69.06529,7.81,Thomas2016,112.21439775603744,67.78560224396256
NGC3078,149.60257,-26.92687,7.91,Thomas2016,39.62963691084712,140.37036308915287
NGC3079,150.49085,55.67979,6.4,Thomas2016,100.96977579345996,79.03022420654004
NGC3081,149.87305,-22.8262,7.2,Thomas2016,41.457997532310934,138.54200246768906
NGC3091,150.05885,-19.63648,9.56,Thomas2016,43.07029821747984,136.92970178252017
NGC3115,151.30824,-7.71858,8.95,Thomas2016,49.75327847939552,130.24672152060447
NGC3245,156.82652,28.50744,8.38,Thomas2016,75.45614052038971,104.54385947961029
NGC3310,159.69107,53.5033,6.7,Thomas2016,96.36422167841346,83.63577832158654
NGC3351,160.99055,11.70361,6.52,Thomas2016,59.00904545991197,120.99095454008804
NGC3368,161.6906,11.81994,6.88,Thomas2016,58.75623194306853,121.24376805693147
NGC3377,161.92667,13.98564,8.25,Thomas2016,60.51036651334575,119.48963348665424
NGC3379,161.95667,12.58163,8.62,Thomas2016,59.28074234634422,120.71925765365577
NGC3384,162.0704,12.6293,7.03,Thomas2016,59.26606742399151,120.7339325760085
NGC3393,162.09778,-25.16203,7.2,Thomas2016,30.750902585027845,149.24909741497214
NGC3414,162.81767,27.97497,8.4,Thomas2016,72.47594125034996,107.52405874965004
NGC3423,162.80975,5.8401,5.18,Thomas2016,53.07244031766453,126.92755968233547
NGC3489,165.07745,13.90126,6.78,Thomas2016,58.96595526843661,121.0340447315634
NGC3585,168.32129,-26.75499,8.52,Thomas2016,25.177779432022835,154.82222056797715
NGC3607,169.22774,18.05181,8.14,Thomas2016,60.99903507329443,119.00096492670556
NGC3608,169.2457,18.14853,8.67,Thomas2016,61.081108797106694,118.9188912028933
NGC3621,169.56792,-32.8126,6.0,Thomas2016,21.459550492312967,158.54044950768704
NGC3627,170.06261,12.99129,6.93,Thomas2016,56.03952928772362,123.96047071227639
NGC3642,170.57506,59.07424,7.42,Thomas2016,99.04921769572755,80.95078230427245
NGC3665,171.18179,38.76279,8.76,Thomas2016,79.72662105298625,100.27337894701375
NGC3675,171.53577,43.58592,7.26,Thomas2016,84.20533355696219,95.79466644303781
