name,source,ra,dec,l,b,theta_D,d_mpc,R_Thales
Cen6,CF3,196.25958333333332,-40.08222222222223,305.75164139944684,22.715054523820566,2.3860882253663402,5.94,5.9451546374217745
ESO443-09,CF3,193.72333333333333,-28.340833333333332,303.8547652473261,34.524725021613804,9.576232820885688,5.97,6.054366811401605
ESO320-14,CF3,174.47166666666666,-39.220555555555556,287.70756506174797,21.466950220626323,16.265084258379137,6.0,6.250155273789115
LEDA,CF2,192.28125,-11.41163888888889,302.0222755956435,51.45602595446949,26.5539207533809,6.14,6.864062105374405
ESO223-09,CF3,225.28583333333336,-48.291666666666664,324.1172485319914,9.172462019857026,24.112706685976594,6.31,6.913222962579603
LEDA,CF2,201.32708333333332,-21.134083333333333,313.42483542621534,41.0465576374031,17.510557461012585,6.49,6.805349513043206
NGC005398,CF3,210.34,-33.06361111111111,319.42844597072957,27.558393732736196,13.179331941138317,6.58,6.757997465584168
NGC003621,CF3,169.56875,-32.81388888888888,281.2140936016607,26.098898947860945,21.45850175908472,6.7,7.1990158073480846
ESO376-016,CF3,160.86374999999998,-37.04361111111111,276.3391354312819,19.13284011915129,27.14567873948945,6.92,7.776597318532725
ESO318-013,CF3,161.92333333333332,-38.853611111111114,278.04299671752324,17.964573174357767,25.999439589275095,6.92,7.699168699430228
2MRS_210.84-41.38,2MRS,210.83711,-41.37771,317.1545145602368,19.49955782909593,12.513669910172021,6.931506849315069,7.100176220839057
ES270-017,CF3,203.695,-45.54722222222222,310.83057207911287,16.658763696302632,9.959658328983638,6.95,7.05634065042307
2MRS_204.25-29.87,2MRS,204.25383,-29.86576,314.5835708644155,31.972703738054815,10.925551271810848,7.027397260273973,7.157125257009821
2MRS_228.56-46.81,2MRS,228.55595,-46.8092,326.8055678063682,9.337058549977698,25.98887358879197,7.1506849315068495,7.9551126198637645
2MRS_203.43-48.15,2MRS,203.43324,-48.15117,310.1844285117026,14.124092977123752,11.918455045465091,7.232876712328767,7.392234695682038
NGC4765,CF3,193.31041666666664,4.463055555555556,304.0984546994941,67.33071997208032,42.334398885150584,7.41,10.023985834036079
2MRS_201.37-43.02,2MRS,201.36565,-43.01871,309.5164060232113,19.417612225127623,6.973137686760191,7.493150684931507,7.548989204792098
2MRS_196.36-49.47,2MRS,196.36366,-49.4679,305.2715375668977,13.340165333846022,11.662641929357497,7.712328767123288,7.874907620088736
NGC4600,CF3,190.09583333333333,3.1175,296.17543863980694,65.8441256009428,41.227263258693384,8.17,10.862896985914322
2MRS_245.24-60.49,2MRS,245.24327,-60.49102,326.1022693157472,-7.4270502846821955,38.389515106691704,8.287671232876713,10.573610661471061
UGC07694,CF3,188.18958333333333,0.11444444444444445,292.7364989343746,62.61584529376546,38.49996111833138,8.75,11.180557217810364
2MRS_192.49+5.31,2MRS,192.49121,5.31143,301.9453231800361,68.18035808215876,43.220418974586416,8.876712328767123,12.181161503285688
2MRS_199.73-21.04,2MRS,199.72836,-21.0391,311.4867357527131,41.37580768361187,17.238542101441148,9.150684931506849,9.581074188620034
ES373-008,CF3,143.33958333333334,-33.03333333333333,261.92259366612075,13.638971424306053,42.01386392016407,9.68,13.028563759512707
NGC4948,CF3,196.23333333333335,-7.947500000000001,308.73126332781237,54.772217115960444,29.89983691818564,9.68,11.16624807817154
ESO265-007,CF3,166.95208333333335,-46.525555555555556,284.9837791756114,12.703229821915578,22.53392540467203,9.73,10.534261588287693
ESO505-013,CF3,181.53,-22.848055555555554,289.49233192420775,38.838144841858906,19.042780790525107,9.73,10.29329847935848
2MRS_193.31+4.46,2MRS,193.31071,4.46328,304.0992239482906,67.33093906283379,42.334611651787114,9.849315068493151,13.32385003145433
2MRS_169.57-32.81,2MRS,169.56792,-32.8126,281.21281653885546,26.099811407357684,21.45961105813129,9.863013698630137,10.597691328640051
2MRS_192.30+3.39,2MRS,192.2982,3.38871,301.54036939745436,66.25439370985286,41.31215092227222,9.876712328767123,13.149240853554184
UGC07035,CF3,180.9175,2.641111111111111,275.87219887604675,62.97563069191308,42.59171938025562,9.95,13.515442638598401
2MRS_190.63+3.96,2MRS,190.62982,3.96032,297.29293313518247,66.73437170035074,42.011957372542106,10.095890410958905,13.587914176295417
LEDA,CF2,181.17166666666668,-28.11641666666667,290.54083842975723,33.627948224947914,15.251420797966347,10.19,10.56198463895389
PGC045195,CF3,196.13,-3.572222222222222,309.30475763684143,59.13755862009085,34.27123842161542,10.33,12.500286314697515
