name,source,ra,dec,l,b,theta_D,d_mpc,R_Thales
AGC028169,CF3,178.48791666666665,-20.13722222222222,285.02295999060846,40.72688373130719,22.892240142358588,15.85,17.205106944579338
ES317-046,CF3,158.25958333333332,-38.98111111111111,275.53343694346364,16.41737885352329,28.795522090666317,15.92,18.166375342203274
LEDA,CF2,179.60583333333332,-22.44,287.15405384264244,38.80204536617855,20.42309574997482,15.92,16.98783120064326
2MRS_196.28-6.49,2MRS,196.2821,-6.49384,309.0553797036631,56.215050424133466,31.354279456071257,15.972602739726028,18.704020472610246
NGC4430,CF3,186.85999999999999,6.262777777777778,286.56198761697453,68.36847091596988,44.78117522610315,16.0,22.541490856337354
2MRS_207.07+3.95,2MRS,207.06697,3.95089,335.75042416664814,63.14261637964619,43.204979646650806,16.054794520547944,22.02578327441827
NGC005556,CF3,215.14208333333335,-29.241666666666667,325.326822802023,29.725026169005105,18.63220182095871,16.07,16.95882926269972
2MRS_208.91+4.98,2MRS,208.91116,4.98485,340.414108130041,63.08466147441154,44.66771498126293,16.164383561643834,22.72846044992433
NGC003137,CF3,152.28083333333333,-29.06416666666667,265.2095405236833,21.674128917797557,36.558740885469895,16.22,20.1930512231703
NGC4179,CF3,183.21708333333333,1.2994444444444444,281.6203075449225,62.56444679267125,40.678174953744765,16.22,21.387619304422927
N4339,CF3,185.89541666666665,6.081666666666666,284.2118499348715,67.93522052168453,44.768327528512536,16.22,22.846352969180224
,CF3,200.4425,-27.43027777777778,311.1481889997468,34.9570947232387,11.285232777569144,16.22,16.539794807585487
2MRS_195.24-0.03,2MRS,195.2444,-0.02745,308.14588293639247,62.747684204616625,37.80617802602739,16.246575342465754,20.562970740255626
2MRS_214.61-43.39,2MRS,214.6138,-43.38826,319.26441490744537,16.706754769806494,15.68133060698801,16.34246575342466,16.974249555496172
NGC005348,CF3,208.54666666666668,5.227222222222222,340.0269458485446,63.48498019238777,44.80655443376642,16.37,23.07290748760655
2MRS_176.77-16.85,2MRS,176.76906,-16.8546,281.5466657134839,43.328520148951576,26.516911715244245,16.383561643835616,18.309693408145627
2MRS_165.94-23.25,2MRS,165.94199,-23.2455,273.0817553184712,33.31093915911659,28.95723444943294,16.424657534246574,18.771437813550563
AGC026974,CF3,153.67541666666665,-28.871944444444445,266.1192514199362,22.577144591926118,35.540480959730004,16.52,20.302197136648275
