glon,glat,dist_mpc,theta_D
146.79,-25.28,71.1,160.29386204145138
150.78,-53.47,68.8,145.62636045099674
201.3,-27.93,66.6,112.80508213692072
141.93,-35.53,61.2,162.02555801289293
81.55,-59.35,58.0,134.34672297635885
327.3,-11.27,57.9,42.28883857936954
199.01,-31.21,55.9,115.62750469309671
108.94,-64.16,53.1,139.461446775014
335.92,-26.53,53.1,59.54457471096804
273.65,-20.26,42.4,54.56628169894793
274.98,14.97,41.4,29.857929287616408
307.88,19.23,38.1,6.356299555367798
261.24,21.82,37.5,40.11415705576078
231.14,25.65,32.1,65.79185413217783
341.15,27.7,31.4,32.3922275353826
143.83,55.24,30.7,98.15588027553687
209.71,-50.28,28.7,112.23863870978846
140.54,-38.86,28.5,160.92388307667795
87.94,-39.12,27.1,145.8689703979025
349.04,58.3,24.8,45.41915482623186
151.05,-67.63,24.3,134.48332943386131
347.84,-65.62,23.9,96.35065978039073
312.09,40.9,21.1,16.96107190046962
309.52,55.48,19.5,30.65995144341839
306.03,64.59,19.1,39.59564903677807
241.39,-36.03,12.7,85.57303421053517
104.87,68.54,4.9,85.29647461616389
141.41,40.57,4.2,112.67710012684222
99.48,29.89,291.7,119.89987841061951
318.12,46.29,261.8,23.736400332795277
127.05,-73.22,251.8,131.7671348472956
2.89,-42.64,235.0,86.09479918738691
143.01,-76.08,231.2,128.13757961221305
131.99,-76.72,225.9,128.16714626907685
144.15,-77.79,224.4,126.45071744920476
144.93,-66.1,218.5,137.0184033918706
130.57,-45.56,215.3,158.95660939765108
345.92,-45.41,205.8,79.64174614952786
19.54,-22.84,205.4,86.64026673597324
238.13,-14.99,203.5,76.43257971443009
259.41,31.44,202.1,40.398879443467926
227.27,-21.44,201.1,88.57886752447713
144.92,-81.8,197.0,122.67200975436046
243.79,-26.2,195.9,78.16783520250542
8.86,58.07,195.9,55.26018362645242
205.31,-20.88,188.8,107.04696840662959
344.76,-28.05,187.9,65.40908832652718
50.03,-38.22,186.9,116.49465138416078
259.36,46.79,186.6,42.108668614279196
320.84,-23.3,186.2,50.6821167310771
239.82,-41.14,186.0,89.51470879537817
35.9,-44.84,185.6,107.9444500328981
312.97,32.7,182.8,10.38571666451089
267.62,-49.19,182.2,81.32662720630772
231.16,20.25,179.7,67.48479061644
287.35,15.1,175.0,19.279484573488023
138.83,-75.71,174.0,128.8115175325023
202.76,-40.65,172.0,114.90336002241062
200.55,-36.43,171.8,115.65356296414721
198.15,-43.33,170.4,118.75715957161283
298.27,10.86,167.1,15.513263018299936
323.8,38.7,165.8,20.962688646127248
22.77,-29.35,164.6,92.28084604757873
317.48,48.38,164.4,25.35527620731474
69.49,26.97,164.2,105.41010432548494
125.88,-49.82,164.2,155.1705880241762
282.38,10.6,163.9,25.8345644191758
269.05,-29.67,159.8,64.6407353321664
323.99,37.59,158.9,20.46769094381198
230.17,-34.24,155.4,92.39154921902937
226.23,-34.24,155.2,95.27170983865584
281.51,-24.38,154.0,54.36422535822411
190.67,-53.75,150.8,124.16707378544693
18.42,60.81,149.8,60.32504865478675
223.73,18.64,148.9,74.60808811523657
227.83,22.76,147.1,69.56882089031886
271.22,49.33,144.2,35.75973780724536
189.85,-60.9,144.0,123.82061268761268
30.02,-41.74,142.7,102.86494471412543
290.66,17.16,142.2,15.4910708262551
200.86,-50.91,142.2,117.88004062826975
329.66,38.87,138.3,24.97544255273135
200.76,-41.59,137.4,116.56867208097916
248.21,22.62,136.9,51.628708193907464
182.36,70.25,136.5,76.55122043394745
125.02,-35.93,135.8,169.06998648969358
312.42,47.11,136.1,22.883454646807902
316.62,19.18,135.2,12.230933181938124
268.02,48.89,134.6,37.39609608518012
50.45,78.46,134.0,68.54471477413855
143.66,-78.09,132.3,126.20867637697712
69.4,32.23,130.5,101.99031116525467
305.89,30.4,130.8,5.4571147825415265
299.92,45.49,130.8,20.89467007120676
66.12,-62.4,129.3,126.26621601409266
211.22,-39.9,127.9,108.4770990532786
317.4,30.22,125.0,12.154383093752493
139.53,-59.85,125.5,143.71581828743686
99.48,-27.17,124.5,157.01630476539705
78.86,-55.84,122.2,134.61337202129235
201.48,-22.8,121.1,111.04471393025948
308.16,25.37,120.6,2.8833698404014565
258.3,37.87,119.5,41.40109453467718
264.2,37.05,118.3,36.66004357913624
285.2,-26.56,118.1,54.986527698292534
240.61,-22.43,117.2,78.41295018773272
82.0,-53.96,117.5,137.0298353232607
112.21,-33.36,116.4,166.070332668067
236.76,-25.8,115.7,83.19111796523705
1.24,43.42,115.1,48.981643456361404
220.69,-31.26,114.6,98.19222073161626
184.45,-58.25,112.8,126.99776760068423
263.25,-31.76,110.6,69.36216551742056
205.02,-36.77,106.9,112.25930453657068
28.03,-46.51,104.0,103.35099670339459
285.04,-20.84,103.7,49.77542449993539
345.26,37.06,102.4,36.23411667293375
220.69,-32.42,102.3,98.66882107340564
313.69,48.14,99.9,24.13220228583459
298.44,-55.44,99.7,80.63552172360735
256.16,24.14,99.6,44.178526110475325
95.44,-24.44,98.4,153.1963505694678
25.84,-41.57,98.1,99.93213964434186
96.92,-32.82,98.3,154.29624798603854
278.67,12.9,96.9,27.608998343440422
334.74,74.75,96.2,52.068066121890475
251.81,63.42,94.7,51.61610696636835
117.22,-31.82,93.5,170.34499673542518
0.86,34.5,92.0,48.81036871336307
3.4,62.32,90.6,53.497683483851986
317.3,12.44,89.1,17.107703783258927
199.12,-62.14,87.5,119.30910238413436
348.75,38.75,85.1,39.185478701058145
119.56,-33.3,85.1,170.44062381751377
168.78,-51.11,82.5,137.7116981615588
226.98,43.61,82.5,64.67770565675798
