RAJ2000,DEJ2000
0.0159365,25.0952792
0.0159912,6.1798207
0.0161605,3.748925
0.0161646,-2.7077904
0.0162962,21.5617358
0.0163084,-31.0991967
0.0164458,26.6126633
0.0165129,44.1390719
0.0166066,29.9475863
0.016627,35.9081005
0.0167606,14.6471102
0.0171021,33.8591783
0.0172437,-52.7628211
0.0172545,11.1462389
0.0173674,25.9295202
0.0174841,31.7158664
0.0178672,-48.2384179
0.0181173,-4.2154374
0.0188858,-55.4343954
0.018999,16.8725489
0.0192232,3.8562315
0.0193503,32.7867745
0.0199431,-0.9096349
0.0200811,-4.0967643
0.0201298,31.0661067
0.0201816,9.0620243
0.0202227,6.3010454
0.0203691,24.6162191
0.0205643,-63.5840234
0.0206959,-0.2783434
0.0209286,-0.6413931
0.021071,8.9521526
0.0210917,44.2838539
0.021157,-7.330887
0.0211617,44.593505
0.0213044,-10.813925
0.0213735,8.6278132
0.0215791,9.5121785
0.0216462,26.5493235
0.0216512,13.7076544
0.0218606,-48.5354235
0.0223759,-7.9000425
0.02247,21.4957843
0.0225435,39.5266072
0.022568,0.4438956
0.0227706,-27.4195301
0.0228553,1.1345059
0.0228628,23.7344099
0.0228965,31.0910126
0.02297,-5.5047124
0.0229766,-1.4575531
0.0231832,33.6771016
0.0231863,20.9870094
0.0233137,-4.0378275
0.0240773,-4.3353234
0.0240779,9.9324875
0.0241046,32.8342627
0.0242579,22.2884489
0.0243006,-77.8087676
0.024495,34.0478897
0.0248015,14.8861585
0.0249297,9.0931948
0.0250633,-3.8928222
0.025068,29.8505189
0.0251672,16.384507
0.0254958,19.5441458
0.0255208,-4.2850727
0.0256383,-0.502682
0.0256643,-5.9282183
0.025716,25.0274052
0.0259521,27.9667662
0.0259706,7.5214189
0.0261131,-35.5810172
0.0261575,8.3688318
0.0262669,3.1924704
0.0265551,5.3408634
0.0266175,-6.9013681
0.0267247,22.5580129
0.0267417,32.7264955
0.026771,0.8684161
0.0271835,28.4257477
0.0272231,0.5153353
0.0274294,27.3687829
0.0274419,48.1335078
0.0278633,10.5776081
0.0278689,22.971435
0.0279818,30.3259014
0.0281313,13.2148604
0.0282507,31.036168
0.0282703,6.4171982
0.0285912,-68.2054983
0.0289459,18.0423243
0.0293393,36.0475579
0.0293516,-16.3603252
0.0294829,6.0593935
0.0295972,26.7568532
0.029807,-25.0495333
0.0299146,0.3147414
0.0300173,-49.1850172
0.0302097,33.4377783
0.0304253,31.3605607
0.030928,6.7307315
0.0311866,11.7018911
0.0316158,0.4953568
0.031696,2.960799
0.0318766,-18.9325292
0.0318841,-43.1707206
0.0320394,23.3608962
0.0322085,-2.0351143
0.032359,-1.2052336
0.032623,-63.5930926
0.0328913,1.9702901
0.0329073,35.7942357
0.0329923,-38.0569954
0.033323,65.4086129
0.0334607,-0.4576297
0.0337452,1.8811047
0.0338889,-60.5797778
0.0339233,0.2763063
0.0339943,7.9781488
0.0342351,-72.7682545
0.0344325,-9.4878402
0.0345564,-75.3417727
0.0346639,-47.307658
0.0347366,-43.2168084
0.0347928,-3.8380003
0.0352431,2.4494464
0.0353302,29.3956378
0.0353431,12.8426111
